,season,episode,speaker,percent
625,3,8,creed,0.40499999999999997
626,3,8,dwight,15.587000000000002
627,3,8,hannah,1.822
628,3,8,jan,1.2149999999999999
629,3,8,jim,15.384999999999998
630,3,8,karen,5.668
631,3,8,kelly,1.2149999999999999
632,3,8,kevin,1.417
633,3,8,male voice,0.202
634,3,8,martin,1.012
635,3,8,meredith,0.40499999999999997
636,3,8,michael,26.518000000000004
637,3,8,michael & dwight,0.202
638,3,8,michael and dwight,0.202
639,3,8,pam,7.692
640,3,8,phyllis,1.619
641,3,8,ryan,1.822
642,3,8,stanley,0.8099999999999999
643,3,8,toby,3.2390000000000003
644,3,8,tony,4.251
645,3,9,andy,8.718
646,3,9,angela,5.128
647,3,9,creed,1.026
648,3,9,dwight,2.051
649,3,9,hannah,2.564
650,3,9,jan,3.5900000000000003
651,3,9,jim,16.923
652,3,9,karen,6.154
653,3,9,kevin,6.666999999999999
654,3,9,martin,5.641
655,3,9,meredith,0.513
656,3,9,michael,27.692
657,3,9,pam,8.205
658,3,9,phyllis,0.513
659,3,9,ryan,1.538
660,3,9,stanley,1.026
661,3,9,toby,2.051
662,3,10,andy,5.579
663,3,10,andy and michael,0.207
664,3,10,angela,7.6450000000000005
665,3,10,both,0.413
666,3,10,carol,4.132000000000001
667,3,10,chef,0.413
668,3,10,cindy,0.413
669,3,10,creed,0.62
670,3,10,darryl,0.62
671,3,10,dwight,12.603
672,3,10,everybody,0.207
673,3,10,hannah,0.413
674,3,10,jim,8.884
675,3,10,karen,7.025
676,3,10,kelly,1.0330000000000001
677,3,10,kevin,3.306
678,3,10,man,0.207
679,3,10,meredith,0.62
680,3,10,michael,22.727
681,3,10,oscar,0.207
682,3,10,other waitress,0.413
683,3,10,pam,11.777
684,3,10,phyllis,2.479
685,3,10,roy,1.24
686,3,10,ryan,1.653
687,3,10,second cindy,2.479
688,3,10,stanley,0.62
689,3,10,toby,1.653
690,3,10,waitress,0.207
691,3,10,woman at bar,0.207
692,3,12,andy,1.3639999999999999
693,3,12,angela,1.818
694,3,12,darryl,3.636
695,3,12,dwight,10.0
696,3,12,everybody,0.909
697,3,12,jan,5.455
698,3,12,jim,11.364
699,3,12,karen,4.091
700,3,12,kevin,2.273
701,3,12,michael,30.909
702,3,12,packer,3.182
703,3,12,pam,16.817999999999998
704,3,12,phyllis,0.909
705,3,12,roy,2.273
706,3,12,stanley,1.818
707,3,12,toby,3.182
708,3,13,andy,10.741
709,3,13,angela,6.296
710,3,13,buyer,0.741
711,3,13,dwight,12.222
712,3,13,guy,0.37
713,3,13,harvey,2.593
714,3,13,jan,0.37
715,3,13,jim,15.185
716,3,13,julius,1.111
717,3,13,karen,5.926
718,3,13,kelly,0.741
719,3,13,kenny,0.37
720,3,13,kevin,2.593
721,3,13,man,1.8519999999999999
722,3,13,michael,17.778
723,3,13,pam,11.111
724,3,13,phone,0.37
725,3,13,phyllis,3.7039999999999997
726,3,13,ryan,2.963
727,3,13,stanley,2.963
728,3,14,andy,18.956999999999997
729,3,14,angela,7.582999999999999
730,3,14,creed,1.422
731,3,14,dwight,11.848
732,3,14,everybody,0.47400000000000003
733,3,14,jim,12.796
734,3,14,karen,1.8960000000000001
735,3,14,kevin,1.422
736,3,14,lady,0.9480000000000001
737,3,14,marcy,1.422
738,3,14,meredith,0.9480000000000001
739,3,14,michael,23.223
740,3,14,oscar,5.213
741,3,14,pam,4.739
742,3,14,paris,2.844
743,3,14,phyllis,1.422
744,3,14,ryan,1.422
745,3,14,stanley,0.9480000000000001
746,3,14,staples guy,0.47400000000000003
747,3,19,andy,0.5599999999999999
748,3,19,angela,3.081
749,3,19,creed,0.84
750,3,19,darryl,11.765
751,3,19,dwight,4.7620000000000005
752,3,19,hunter,0.27999999999999997
753,3,19,jan,8.964
754,3,19,jim,12.045
755,3,19,karen,4.202
756,3,19,kelly,3.9219999999999997
757,3,19,kevin,2.241
758,3,19,michael,30.531999999999996
759,3,19,oscar,1.1199999999999999
760,3,19,pam,3.9219999999999997
761,3,19,phyllis,1.1199999999999999
762,3,19,roy,2.241
763,3,19,ryan,2.521
764,3,19,stanley,1.1199999999999999
765,3,19,toby,4.7620000000000005
766,3,20,andy,6.007
767,3,20,angela,0.35300000000000004
768,3,20,creed,1.06
769,3,20,darry,0.35300000000000004
770,3,20,darryl,8.834
771,3,20,dwight,19.788
772,3,20,everyone,0.35300000000000004
773,3,20,guy,0.35300000000000004
774,3,20,jim,8.126999999999999
775,3,20,karen,1.413
776,3,20,kelly,1.7670000000000001
777,3,20,kevin,4.594
778,3,20,lonny,3.887
779,3,20,madge,0.707
780,3,20,michael,28.621999999999996
781,3,20,oscar,1.06
782,3,20,pam,7.42
783,3,20,ryan,1.7670000000000001
784,3,20,stanley,0.707
785,3,20,toby,2.827
786,3,21,andy,12.698
787,3,21,angela,4.365
788,3,21,barbara,5.556
789,3,21,chad lite,2.3810000000000002
790,3,21,creed,3.175
